t_s,pwm,power_w,t_sense_c,t_die_c,rpm
25.600,29.8039,150.0000,39.2500,42.3616,4470.59
25.700,29.8039,150.0000,39.2500,42.4105,4470.59
25.800,29.8039,150.0000,39.3750,42.4594,4470.59
25.900,29.8039,150.0000,39.4375,42.5082,4470.59
26.000,29.8039,150.0000,39.4375,42.5568,4470.59
26.100,29.8039,150.0000,39.4375,42.6053,4470.59
26.200,29.8039,150.0000,39.5625,42.6538,4470.59
26.300,29.8039,150.0000,39.5625,42.7021,4470.59
26.400,29.8039,150.0000,39.7500,42.7503,4470.59
26.500,29.8039,150.0000,39.6250,42.7984,4470.59
26.600,29.8039,150.0000,39.7500,42.8464,4470.59
26.700,29.8039,150.0000,39.8125,42.8943,4470.59
26.800,29.8039,150.0000,39.8750,42.9421,4470.59
26.900,29.8039,150.0000,39.9375,42.9898,4470.59
27.000,29.8039,150.0000,40.0625,43.0374,4470.59
27.100,29.8039,150.0000,40.0625,43.0849,4470.59
27.200,29.8039,150.0000,40.1250,43.1323,4470.59
27.300,29.8039,150.0000,40.1875,43.1795,4470.59
27.400,29.8039,150.0000,40.1875,43.2267,4470.59
27.500,29.8039,150.0000,40.2500,43.2737,4470.59
27.600,29.8039,150.0000,40.3750,43.3207,4470.59
27.700,29.8039,150.0000,40.3125,43.3675,4470.59
27.800,29.8039,150.0000,40.4375,43.4143,4470.59
27.900,29.8039,150.0000,40.4375,43.4609,4470.59
28.000,29.8039,150.0000,40.5625,43.5074,4470.59
28.100,29.8039,150.0000,40.6875,43.5539,4470.59
28.200,29.8039,150.0000,40.6250,43.6002,4470.59
28.300,29.8039,150.0000,40.6875,43.6464,4470.59
28.400,29.8039,150.0000,40.6875,43.6925,4470.59
28.500,29.8039,150.0000,40.8750,43.7386,4470.59
28.600,29.8039,150.0000,40.8125,43.7845,4470.59
28.700,29.8039,150.0000,41.0000,43.8303,4470.59
28.800,29.8039,150.0000,40.9375,43.8760,4470.59
28.900,29.8039,150.0000,41.0000,43.9216,4470.59
29.000,29.8039,150.0000,41.0000,43.9671,4470.59
29.100,29.8039,150.0000,41.1250,44.0125,4470.59
29.200,29.8039,150.0000,41.1250,44.0578,4470.59
29.300,29.8039,150.0000,41.2500,44.1030,4470.59
29.400,29.8039,150.0000,41.1875,44.1482,4470.59
29.500,29.8039,150.0000,41.3750,44.1932,4470.59
29.600,29.8039,150.0000,41.4375,44.2381,4470.59
29.700,29.8039,150.0000,41.3750,44.2829,4470.59
29.800,29.8039,150.0000,41.5000,44.3276,4470.59
29.900,29.8039,150.0000,41.5000,44.3722,4470.59
30.000,29.8039,150.0000,41.5000,44.4167,4470.59
30.100,29.8039,150.0000,41.5625,44.4611,4470.59
30.200,29.8039,150.0000,41.7500,44.5054,4470.59
30.300,29.8039,150.0000,41.7500,44.5496,4470.59
30.400,29.8039,150.0000,41.8125,44.5937,4470.59
30.500,29.8039,150.0000,41.8750,44.6378,4470.59
30.600,29.8039,150.0000,41.8750,44.6817,4470.59
30.700,29.8039,150.0000,41.9375,44.7255,4470.59
30.800,29.8039,150.0000,41.9375,44.7692,4470.59
30.900,29.8039,150.0000,42.0000,44.8128,4470.59
31.000,29.8039,150.0000,42.1250,44.8564,4470.59
31.100,29.8039,150.0000,42.1250,44.8998,4470.59
31.200,29.8039,150.0000,42.1875,44.9431,4470.59
31.300,29.8039,150.0000,42.1875,44.9864,4470.59
31.400,29.8039,150.0000,42.1875,45.0295,4470.59
31.500,29.8039,150.0000,42.3750,45.0726,4470.59
31.600,29.8039,150.0000,42.5000,45.1155,4470.59
31.700,29.8039,150.0000,42.3125,45.1584,4470.59
31.800,29.8039,150.0000,42.5000,45.2011,4470.59
31.900,29.8039,150.0000,42.5000,45.2438,4470.59
32.000,29.8039,150.0000,42.5625,45.2864,4470.59
32.100,29.8039,150.0000,42.5625,45.3289,4470.59
32.200,29.8039,150.0000,42.6250,45.3712,4470.59
32.300,29.8039,150.0000,42.6250,45.4135,4470.59
32.400,29.8039,150.0000,42.6875,45.4557,4470.59
32.500,29.8039,150.0000,42.8125,45.4978,4470.59
32.600,29.8039,150.0000,42.8125,45.5398,4470.59
32.700,29.8039,150.0000,42.8750,45.5817,4470.59
32.800,29.8039,150.0000,42.9375,45.6236,4470.59
32.900,29.8039,150.0000,43.0000,45.6653,4470.59
33.000,29.8039,150.0000,43.0000,45.7069,4470.59
33.100,29.8039,150.0000,43.0625,45.7485,4470.59
33.200,29.8039,150.0000,43.0625,45.7899,4470.59
33.300,29.8039,150.0000,43.1250,45.8313,4470.59
33.400,29.8039,150.0000,43.3125,45.8725,4470.59
33.500,29.8039,150.0000,43.1875,45.9137,4470.59
33.600,29.8039,150.0000,43.3750,45.9548,4470.59
33.700,29.8039,150.0000,43.3750,45.9958,4470.59
33.800,29.8039,150.0000,43.5000,46.0367,4470.59
33.900,29.8039,150.0000,43.4375,46.0775,4470.59
34.000,29.8039,150.0000,43.5000,46.1182,4470.59
34.100,29.8039,150.0000,43.5625,46.1589,4470.59
34.200,29.8039,150.0000,43.6250,46.1994,4470.59
34.300,29.8039,150.0000,43.6250,46.2398,4470.59
34.400,29.8039,150.0000,43.6875,46.2802,4470.59
34.500,29.8039,150.0000,43.6875,46.3205,4470.59
34.600,29.8039,150.0000,43.7500,46.3606,4470.59
34.700,29.8039,150.0000,43.8125,46.4007,4470.59
34.800,29.8039,150.0000,43.8750,46.4407,4470.59
34.900,29.8039,150.0000,43.9375,46.4806,4470.59
35.000,29.8039,150.0000,43.8750,46.5205,4470.59
35.100,29.8039,150.0000,43.9375,46.5602,4470.59
35.200,29.8039,150.0000,44.0625,46.5998,4470.59
35.300,29.8039,150.0000,44.0625,46.6394,4470.59
35.400,29.8039,150.0000,44.1875,46.6789,4470.59
35.500,29.8039,150.0000,44.1875,46.7183,4470.59
35.600,29.8039,150.0000,44.2500,46.7576,4470.59
35.700,29.8039,150.0000,44.1875,46.7968,4470.59
35.800,29.8039,150.0000,44.4375,46.8359,4470.59
35.900,29.8039,150.0000,44.3750,46.8749,4470.59
36.000,29.8039,150.0000,44.3750,46.9139,4470.59
36.100,29.8039,150.0000,44.5625,46.9527,4470.59
36.200,29.8039,150.0000,44.4375,46.9915,4470.59
36.300,29.8039,150.0000,44.6250,47.0302,4470.59
36.400,29.8039,150.0000,44.5625,47.0688,4470.59
36.500,29.8039,150.0000,44.6250,47.1073,4470.59
36.600,29.8039,150.0000,44.6250,47.1457,4470.59
36.700,29.8039,150.0000,44.8125,47.1841,4470.59
36.800,29.8039,150.0000,44.7500,47.2223,4470.59
36.900,29.8039,150.0000,44.8125,47.2605,4470.59
37.000,29.8039,150.0000,44.8750,47.2986,4470.59
37.100,29.8039,150.0000,44.8750,47.3366,4470.59
37.200,29.8039,150.0000,45.0000,47.3745,4470.59
37.300,29.8039,150.0000,45.0000,47.4124,4470.59
37.400,29.8039,150.0000,45.0000,47.4501,4470.59
37.500,29.8039,150.0000,45.0625,47.4878,4470.59
37.600,29.8039,150.0000,45.0625,47.5254,4470.59
37.700,29.8039,150.0000,45.2500,47.5629,4470.59
37.800,29.8039,150.0000,45.1250,47.6003,4470.59
37.900,29.8039,150.0000,45.2500,47.6376,4470.59
38.000,29.8039,150.0000,45.2500,47.6749,4470.59
38.100,29.8039,150.0000,45.3750,47.7120,4470.59
38.200,29.8039,150.0000,45.4375,47.7491,4470.59
38.300,29.8039,150.0000,45.3750,47.7861,4470.59
38.400,29.8039,150.0000,45.3750,47.8231,4470.59
38.500,29.8039,150.0000,45.3750,47.8599,4470.59
38.600,29.8039,150.0000,45.6250,47.8967,4470.59
38.700,29.8039,150.0000,45.5625,47.9333,4470.59
38.800,29.8039,150.0000,45.6250,47.9699,4470.59
38.900,29.8039,150.0000,45.6250,48.0064,4470.59
39.000,29.8039,150.0000,45.6875,48.0429,4470.59
39.100,29.8039,150.0000,45.8125,48.0792,4470.59
39.200,29.8039,150.0000,45.8750,48.1155,4470.59
39.300,29.8039,150.0000,45.8750,48.1517,4470.59
39.400,29.8039,150.0000,45.9375,48.1878,4470.59
39.500,29.8039,150.0000,45.8750,48.2238,4470.59
39.600,29.8039,150.0000,45.9375,48.2598,4470.59
39.700,29.8039,150.0000,45.9375,48.2956,4470.59
39.800,29.8039,150.0000,45.9375,48.3314,4470.59
39.900,29.8039,150.0000,46.1250,48.3671,4470.59
40.000,29.8039,150.0000,46.1875,48.4028,4470.59
40.100,29.8039,150.0000,46.1875,48.4383,4470.59
40.200,29.8039,150.0000,46.1250,48.4738,4470.59
40.300,29.8039,150.0000,46.1875,48.5092,4470.59
40.400,29.8039,150.0000,46.2500,48.5445,4470.59
40.500,29.8039,150.0000,46.3125,48.5797,4470.59
40.600,29.8039,150.0000,46.3125,48.6149,4470.59
40.700,29.8039,150.0000,46.4375,48.6500,4470.59
40.800,29.8039,150.0000,46.5000,48.6850,4470.59
40.900,29.8039,150.0000,46.5625,48.7199,4470.59
41.000,29.8039,150.0000,46.5625,48.7548,4470.59
41.100,29.8039,150.0000,46.5625,48.7895,4470.59
41.200,29.8039,150.0000,46.5625,48.8242,4470.59
41.300,29.8039,150.0000,46.6875,48.8588,4470.59
41.400,29.8039,150.0000,46.6875,48.8934,4470.59
41.500,29.8039,150.0000,46.6875,48.9278,4470.59
41.600,29.8039,150.0000,46.6875,48.9622,4470.59
41.700,29.8039,150.0000,46.8125,48.9965,4470.59
41.800,29.8039,150.0000,46.8750,49.0308,4470.59
41.900,29.8039,150.0000,46.8125,49.0649,4470.59
42.000,29.8039,150.0000,47.0000,49.0990,4470.59
42.100,29.8039,150.0000,47.0625,49.1330,4470.59
42.200,29.8039,150.0000,46.9375,49.1669,4470.59
42.300,29.8039,150.0000,46.9375,49.2008,4470.59
42.400,29.8039,150.0000,47.0625,49.2346,4470.59
42.500,29.8039,150.0000,47.1875,49.2683,4470.59
42.600,29.8039,150.0000,47.0625,49.3019,4470.59
42.700,29.8039,150.0000,47.2500,49.3354,4470.59
42.800,29.8039,150.0000,47.1875,49.3689,4470.59
42.900,29.8039,150.0000,47.3125,49.4023,4470.59
43.000,29.8039,150.0000,47.2500,49.4357,4470.59
43.100,29.8039,150.0000,47.2500,49.4689,4470.59
43.200,29.8039,150.0000,47.4375,49.5021,4470.59
43.300,29.8039,150.0000,47.3750,49.5352,4470.59
43.400,29.8039,150.0000,47.4375,49.5682,4470.59
43.500,29.8039,150.0000,47.4375,49.6012,4470.59
43.600,29.8039,150.0000,47.5000,49.6341,4470.59
43.700,29.8039,150.0000,47.5625,49.6669,4470.59
43.800,29.8039,150.0000,47.5625,49.6997,4470.59
43.900,29.8039,150.0000,47.6875,49.7323,4470.59
44.000,29.8039,150.0000,47.7500,49.7649,4470.59
44.100,29.8039,150.0000,47.6875,49.7974,4470.59
44.200,29.8039,150.0000,47.8125,49.8299,4470.59
44.300,29.8039,150.0000,47.7500,49.8623,4470.59
44.400,29.8039,150.0000,47.7500,49.8946,4470.59
44.500,29.8039,150.0000,47.8125,49.9268,4470.59
44.600,29.8039,150.0000,48.0000,49.9590,4470.59
44.700,29.8039,150.0000,47.8125,49.9911,4470.59
44.800,29.8039,150.0000,47.9375,50.0231,4470.59
44.900,29.8039,150.0000,48.0000,50.0551,4470.59
45.000,29.8039,150.0000,48.1250,50.0869,4470.59
45.100,29.8039,150.0000,48.0000,50.1187,4470.59
45.200,29.8039,150.0000,48.1250,50.1505,4470.59
45.300,29.8039,150.0000,48.2500,50.1821,4470.59
45.400,29.8039,150.0000,48.2500,50.2137,4470.59
45.500,29.8039,150.0000,48.2500,50.2453,4470.59
45.600,29.8039,150.0000,48.3125,50.2767,4470.59
45.700,29.8039,150.0000,48.2500,50.3081,4470.59
45.800,29.8039,150.0000,48.2500,50.3394,4470.59
45.900,29.8039,150.0000,48.4375,50.3707,4470.59
46.000,29.8039,150.0000,48.4375,50.4019,4470.59
46.100,29.8039,150.0000,48.3125,50.4330,4470.59
46.200,29.8039,150.0000,48.3750,50.4640,4470.59
46.300,29.8039,150.0000,48.5625,50.4950,4470.59
46.400,29.8039,150.0000,48.5625,50.5259,4470.59
