t_s,pwm,power_w,t_sense_c,t_die_c,rpm,fan_power_rel
18.800,40.0000,150.0000,34.3125,37.6316,5999.99,0.064000
18.900,40.0000,150.0000,34.3750,37.6834,5999.99,0.064000
19.000,40.0000,150.0000,34.4375,37.7351,5999.99,0.064000
19.100,40.0000,150.0000,34.5000,37.7866,5999.99,0.064000
19.200,40.0000,150.0000,34.6250,37.8380,5999.99,0.064000
19.300,40.0000,150.0000,34.5625,37.8893,5999.99,0.064000
19.400,40.0000,150.0000,34.6875,37.9405,5999.99,0.064000
19.500,40.0000,150.0000,34.6875,37.9916,5999.99,0.064000
19.600,40.0000,150.0000,34.7500,38.0425,5999.99,0.064000
19.700,40.0000,150.0000,34.8750,38.0934,5999.99,0.064000
19.800,40.0000,150.0000,34.9375,38.1441,5999.99,0.064000
19.900,40.0000,150.0000,34.9375,38.1947,5999.99,0.064000
20.000,40.0000,150.0000,35.0625,38.2453,5999.99,0.064000
20.100,40.0000,150.0000,35.1250,38.2956,5999.99,0.064000
20.200,40.0000,150.0000,35.0625,38.3459,6000.00,0.064000
20.300,40.0000,150.0000,35.1250,38.3961,6000.00,0.064000
20.400,40.0000,150.0000,35.2500,38.4462,6000.00,0.064000
20.500,40.0000,150.0000,35.3750,38.4961,6000.00,0.064000
20.600,40.0000,150.0000,35.3125,38.5460,6000.00,0.064000
20.700,40.0000,150.0000,35.4375,38.5957,6000.00,0.064000
20.800,40.0000,150.0000,35.4375,38.6453,6000.00,0.064000
20.900,40.0000,150.0000,35.5625,38.6948,6000.00,0.064000
21.000,40.0000,150.0000,35.6250,38.7442,6000.00,0.064000
21.100,40.0000,150.0000,35.6250,38.7935,6000.00,0.064000
21.200,40.0000,150.0000,35.6875,38.8427,6000.00,0.064000
21.300,40.0000,150.0000,35.6875,38.8918,6000.00,0.064000
21.400,40.0000,150.0000,35.8125,38.9407,6000.00,0.064000
21.500,40.0000,150.0000,35.8750,38.9896,6000.00,0.064000
21.600,40.0000,150.0000,35.8750,39.0383,6000.00,0.064000
21.700,40.0000,150.0000,36.0000,39.0870,6000.00,0.064000
21.800,40.0000,150.0000,36.0000,39.1355,6000.00,0.064000
21.900,40.0000,150.0000,36.1250,39.1839,6000.00,0.064000
22.000,40.0000,150.0000,36.2500,39.2322,6000.00,0.064000
22.100,40.0000,150.0000,36.1875,39.2804,6000.00,0.064000
22.200,40.0000,150.0000,36.2500,39.3285,6000.00,0.064000
22.300,40.0000,150.0000,36.3750,39.3765,6000.00,0.064000
22.400,40.0000,150.0000,36.3750,39.4244,6000.00,0.064000
22.500,40.0000,150.0000,36.3125,39.4722,6000.00,0.064000
22.600,40.0000,150.0000,36.4375,39.5198,6000.00,0.064000
22.700,40.0000,150.0000,36.5625,39.5674,6000.00,0.064000
22.800,40.0000,150.0000,36.5625,39.6149,6000.00,0.064000
22.900,40.0000,150.0000,36.6875,39.6622,6000.00,0.064000
23.000,40.0000,150.0000,36.6875,39.7095,6000.00,0.064000
23.100,40.0000,150.0000,36.8125,39.7566,6000.00,0.064000
23.200,40.0000,150.0000,36.7500,39.8037,6000.00,0.064000
23.300,40.0000,150.0000,36.8750,39.8506,6000.00,0.064000
23.400,40.0000,150.0000,36.9375,39.8974,6000.00,0.064000
23.500,40.0000,150.0000,37.0000,39.9442,6000.00,0.064000
23.600,40.0000,150.0000,36.9375,39.9908,6000.00,0.064000
23.700,40.0000,150.0000,36.9375,40.0373,6000.00,0.064000
23.800,40.0000,150.0000,37.0625,40.0837,6000.00,0.064000
23.900,40.0000,150.0000,37.0625,40.1300,6000.00,0.064000
24.000,40.0000,150.0000,37.3125,40.1762,6000.00,0.064000
24.100,40.0000,150.0000,37.1875,40.2223,6000.00,0.064000
24.200,40.0000,150.0000,37.3750,40.2683,6000.00,0.064000
24.300,40.0000,150.0000,37.3125,40.3142,6000.00,0.064000
24.400,40.0000,150.0000,37.3125,40.3600,6000.00,0.064000
24.500,40.0000,150.0000,37.4375,40.4057,6000.00,0.064000
24.600,40.0000,150.0000,37.4375,40.4513,6000.00,0.064000
24.700,40.0000,150.0000,37.5625,40.4968,6000.00,0.064000
24.800,40.0000,150.0000,37.6250,40.5422,6000.00,0.064000
24.900,40.0000,150.0000,37.6875,40.5875,6000.00,0.064000
25.000,40.0000,150.0000,37.7500,40.6327,6000.00,0.064000
25.100,40.0000,150.0000,37.7500,40.6778,6000.00,0.064000
25.200,40.0000,150.0000,37.8750,40.7228,6000.00,0.064000
25.300,40.0000,150.0000,37.8750,40.7677,6000.00,0.064000
25.400,40.0000,150.0000,38.0000,40.8125,6000.00,0.064000
25.500,40.0000,150.0000,37.9375,40.8572,6000.00,0.064000
25.600,40.0000,150.0000,38.0000,40.9018,6000.00,0.064000
25.700,40.0000,150.0000,38.1875,40.9463,6000.00,0.064000
25.800,40.0000,150.0000,38.1875,40.9907,6000.00,0.064000
25.900,40.0000,150.0000,38.2500,41.0350,6000.00,0.064000
26.000,40.0000,150.0000,38.1875,41.0792,6000.00,0.064000
26.100,40.0000,150.0000,38.3125,41.1233,6000.00,0.064000
26.200,40.0000,150.0000,38.3750,41.1673,6000.00,0.064000
26.300,40.0000,150.0000,38.3125,41.2112,6000.00,0.064000
26.400,40.0000,150.0000,38.3750,41.2550,6000.00,0.064000
26.500,40.0000,150.0000,38.3125,41.2987,6000.00,0.064000
26.600,40.0000,150.0000,38.6250,41.3423,6000.00,0.064000
26.700,40.0000,150.0000,38.4375,41.3858,6000.00,0.064000
26.800,40.0000,150.0000,38.6875,41.4292,6000.00,0.064000
26.900,40.0000,150.0000,38.6875,41.4726,6000.00,0.064000
27.000,40.0000,150.0000,38.8125,41.5158,6000.00,0.064000
27.100,40.0000,150.0000,38.7500,41.5589,6000.00,0.064000
27.200,40.0000,150.0000,38.8125,41.6020,6000.00,0.064000
27.300,40.0000,150.0000,38.8750,41.6449,6000.00,0.064000
27.400,40.0000,150.0000,38.8750,41.6877,6000.00,0.064000
27.500,40.0000,150.0000,39.0000,41.7305,6000.00,0.064000
27.600,40.0000,150.0000,39.0625,41.7731,6000.00,0.064000
27.700,40.0000,150.0000,39.1250,41.8157,6000.00,0.064000
27.800,40.0000,150.0000,39.1250,41.8582,6000.00,0.064000
27.900,40.0000,150.0000,39.1875,41.9005,6000.00,0.064000
28.000,40.0000,150.0000,39.2500,41.9428,6000.00,0.064000
28.100,40.0000,150.0000,39.3125,41.9850,6000.00,0.064000
28.200,40.0000,150.0000,39.1875,42.0271,6000.00,0.064000
